B.S.,A.D.,Time,Latitude,Longitude,Magnitude,Recorded Centre,Location
2/17/70,5/31/13,6:04,29.74,81.6,4.5,NSC/RSC,Northern Bajura
2/26/70,6/9/13,16:11,27.31,86.7,4.2,NSC,Northern Khotang
3/12/70,6/26/13,22:22,26.85,85.96,4.4,NSC/RSC,Dhanusha
3/13/70,6/27/13,6:20,30.05,80.8,4.4,NSC/RSC,Darchula
3/14/70,6/28/13,11:40,28.76,82.4,5.5,NSC/RSC,Rukum
5/14/70,8/30/13,17:48,28.43,86.03,6,,Tibet
5/27/70,9/12/13,4:29,26.96,87.34,4.5,NSC,Dhankuta
6/6/70,9/22/13,14:35,30.25,81.55,4.4,NSC,Humla
6/17/70,10/3/13,6:12,27.14,88.51,5.7,,Sikkim
6/27/70,10/13/13,21:43,30.08,81.74,4.5,NSC,Humla
7/11/70,10/28/13,1:37,27.36,87.37,4.3,NSC,Sankhuwasava
7/17/70,11/3/13,6:47,29.56,81.68,4.3,NSC,Bajura
12/17/70,3/31/14,7:51,30.11,81.93,4.4,NSC,Humla
12/28/70,4/11/14,17:22,29.29,81.26,4.2,NSC,Achham
1/10/71,4/23/14,7:14,27.3,87.62,4,NSC,Taplejung
2/6/71,5/20/14,18:36,28.32,84.73,4.3,NSC,Gorkha
2/11/71,5/25/14,2:46,28.23,84.09,4.1,NSC,Kaski
3/20/71,7/4/14,5:58,27.83,87.91,4.6,NSC,Taplejung
3/23/71,7/7/14,16:37,29.73,80.93,4.2,NSC,Bajhang-Darchula border
4/18/71,8/3/14,5:57,29.45,85.64,5.9,N?A,Tibet
6/1/71,9/17/14,10:29,27.76,88.05,4.5,NSC,Taplejung
8/9/71,11/25/14,15:49,28.25,84.94,4.5,NSC,Gorkha
